Date,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO,TOTAL
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2020-03-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,5
2020-03-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5
2020-03-07,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,6
2020-03-08,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,6
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
2020-03-10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,5
2020-03-11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,26,0,34
2020-03-12,0,0,0,0,0,0,1,1,3,0,1,0,0,0,0,2,0,6,2,1,0,0,2,2,0,19,0,40
2020-03-13,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,11
2020-03-14,0,0,0,0,0,0,5,2,1,0,2,2,0,0,0,5,0,0,5,0,0,0,1,2,1,1,0,27
2020-03-15,0,0,0,0,2,3,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,71,0,84
2020-03-16,0,0,0,0,1,6,5,4,5,0,3,2,0,0,0,10,0,2,7,0,0,0,4,1,4,16,0,70
2020-03-17,3,0,1,0,6,2,7,0,1,0,7,2,1,0,0,1,0,4,8,0,0,0,8,0,0,12 (1),0,63
2020-03-18,0,0,0,0,11,9,10,3,2,0,6,1,0,1,1,3,0,2,24,0,0,0,9,7,1,80 (3),1,171
2020-03-19,1,3,1,0,4,5,48,2,3,0,9,2,0,0,0,6,3,9,3 (2),0,1,0,9,7,0,43 (1),0,159
2020-03-20,3,2,4,1,3,43,24,3,3,1,9,3,1,1,0,3,1,13,43 (1),5,0,0,23,19,1,109 (4),0,318
2020-03-21,4,1,4,0,7,16,4,10,2,1,17,4,1,0,0,2,0,7,10,3,2,2,12,17,3,63 (6),1,193
2020-03-22,0,0,15,0,14,41,22,0,1,0,28,5,0,2,0,4,2,11,67,4,0,0,13,11,0,172 (7),3,415
