OS,DRIVER,AUS,BAH,CHI,AZE,SPA,MON,CAN,FRE,OST,BRI,GER,HUN,BEL,ITA,SIN,RUS,JAP,US,MEX,BRA,ABU,PTS
1,  LEWIS HAMILTON,2,3,4,1,1,3,5,1,Ret,2,1,1,2,1,1,1,1,3,4,1,1,408
2,  SEBASTIAN VETTEL,1,1,8,4,4,2,1,5,3,1,Ret,2,1,4,3,3,6,4,2,6,2,320
3,  KIMI RÄIKKÖNEN,3,Ret,3,2,Ret,4,6,3,2,3,3,3,Ret,2,5,4,5,1,3,3,Ret,251
4,  MAX VERSTAPPEN,6,Ret,5,Ret,3,9,3,2,1,15,4,Ret,3,5,2,5,3,2,1,2,3,249
5,  VALTTERI BOTTAS,8,2,2,14,2,5,2,7,Ret,4,2,5,4,3,4,2,2,5,5,5,5,247
6,  DANIEL RICCIARDO,4,Ret,1,Ret,5,1,4,4,Ret,5,Ret,4,Ret,Ret,6,6,4,Ret,Ret,4,4,170
7,  NICO HÜLKENBERG,7,6,6,Ret,Ret,8,7,9,Ret,6,5,12,Ret,13,10,12,Ret,6,6,Ret,Ret,69
8,  SERGIO PÉREZ,11,12,12,3,9,12,14,Ret,7,10,7,14,5,7,17,10,7,8,Ret,10,8,62
9,  KEVIN MAGNUSSEN,Ret,5,10,13,6,13,13,6,5,9,11,7,8,16,18,8,Ret,DSQ,15,9,10,56
10,  CARLOS SAINZ JR.,10,11,9,5,7,10,8,8,12,Ret,12,9,11,8,8,16,10,7,Ret,12,6,53
11,  FERNANDO ALONSO,5,7,7,7,8,Ret,Ret,16,8,8,16,8,Ret,Ret,7,14,14,Ret,Ret,17,11,50
12,  ESTEBAN OCON,12,10,11,Ret,Ret,6,9,Ret,6,7,8,13,6,6,Ret,9,9,DSQ,11,15,Ret,49
13,  CHARLES LECLERC,13,14,19,6,10,Ret,10,10,9,Ret,15,Ret,Ret,11,9,7,Ret,Ret,7,7,7,39
14,  ROMAIN GROSJEAN,Ret,15,17,Ret,Ret,15,12,11,4,Ret,6,10,7,DSQ,15,11,8,Ret,16,8,9,37
15,  PIERRE GASLY,Ret,4,18,12,Ret,7,11,Ret,11,11,14,6,9,14,13,Ret,11,12,10,13,Ret,29
16,  STOFFEL VANDOORNE,9,8,13,9,Ret,14,16,12,15,12,13,Ret,15,12,12,17,15,11,8,14,14,12
17,  MARCUS ERICSSON,Ret,9,16,11,13,11,15,13,10,Ret,9,15,10,15,11,13,12,10,9,Ret,Ret,9
18,  LANCE STROLL,14,16,14,8,11,17,Ret,17,14,13,Ret,17,13,9,14,15,17,14,12,18,13,6
19,  BRENDON HARTLEY,15,13,Ret,10,12,Ret,Ret,14,Ret,Ret,10,11,14,Ret,16,Ret,13,9,14,11,12,4
20,  SERGEY SIROTKIN,Ret,17,15,Ret,14,16,17,15,13,14,Ret,16,12,10,19,18,16,13,13,16,15,1
