POS,DRIVER,AUS,BAH,CHI,AZE,SPA,MON,CAN,FRE,OST,BRI,GER,HUN,BEL,ITA,SIN,RUS,JAP,MEX,US,BRA,ABU,PTS
1,  LEWIS HAMILTON,2,1,1,2,1,1,1,1,5,1,9,1,2,3,4,1,3,1,2,7,1,413
2,  VALTTERI BOTTAS,1,2,2,1,2,3,4,2,3,2,Ret,8,3,2,5,2,1,3,1,Ret,4,326
3,  MAX VERSTAPPEN,3,4,4,4,3,4,5,4,1,5,1,2,Ret,8,3,4,Ret,6,3,1,2,278
4,  CHARLES LECLERC,5,3,5,5,5,Ret,3,3,2,3,Ret,4,1,1,2,3,6,4,4,Ret,3,264
5,  SEBASTIAN VETTEL,4,5,3,3,4,2,2,5,4,16,2,3,4,13,1,Ret,2,2,Ret,Ret,5,240
6,  CARLOS SAINZ JR.,Ret,Ret,14,7,8,6,11,6,8,6,5,5,Ret,Ret,12,6,5,13,8,3,10,96
7,  PIERRE GASLY,11,8,6,Ret,6,5,8,10,7,4,14,6,9,11,8,14,7,9,16,2,18,95
8,  ALEXANDER ALBON,14,9,10,11,11,8,Ret,15,15,12,6,10,5,6,6,5,4,5,5,15,6,92
9,  DANIEL RICCIARDO,Ret,Ret,7,Ret,12,9,6,11,12,7,Ret,14,14,4,14,Ret,DSQ,8,6,6,11,54
10,  SERGIO PÉREZ,13,10,8,6,15,13,12,12,11,17,Ret,11,6,7,Ret,7,8,7,10,9,7,52
11,  LANDO NORRIS,12,6,Ret,8,Ret,11,Ret,9,6,11,Ret,9,11,10,7,8,11,Ret,7,8,8,49
12,  KIMI RÄIKKÖNEN,8,7,9,10,14,17,15,7,9,8,12,7,16,15,Ret,13,12,Ret,11,4,13,43
13,  DANIIL KVYAT,10,12,Ret,Ret,9,7,10,14,17,9,3,15,7,Ret,15,12,10,11,12,10,9,37
14,  NICO HÜLKENBERG,7,Ret,Ret,14,13,14,7,8,13,10,Ret,12,8,5,9,10,DSQ,10,9,12,12,37
15,  LANCE STROLL,9,14,12,9,Ret,16,9,13,14,13,4,17,10,12,13,11,9,12,13,Ret,Ret,21
16,  KEVIN MAGNUSSEN,6,13,13,13,7,12,17,17,19,Ret,8,13,12,Ret,17,9,15,15,Ret,11,14,20
17,  ANTONIO GIOVINAZZI,15,11,15,12,16,19,13,16,10,Ret,13,18,Ret,9,10,15,14,14,14,5,16,14
18,  ROMAIN GROSJEAN,Ret,Ret,11,Ret,10,10,14,Ret,16,Ret,7,Ret,13,16,11,Ret,13,17,15,14,15,8
19,  ROBERT KUBICA,17,16,17,16,18,18,18,18,20,15,10,19,17,17,16,Ret,17,18,Ret,16,19,1
20,  GEORGE RUSSELL,16,15,16,15,17,15,16,19,18,14,11,16,15,14,Ret,Ret,16,16,17,13,17,0
