Date,Incheon,Seoul,Gyeonggi,Gangwon,Gyeongbuk,Daegu,Gyeongnam,Busan,Ulsan,Chungbuk,Sejong,Daejeon,Chungnam,Jeonbuk,Gwangju,Jeonnam,Jeju,Quarantine Station
2020-01-20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-01-24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-01-26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-01-27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-01-30,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-01-31,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
2020-02-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-02-02,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2020-02-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2020-02-06,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-02-09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-02-09,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-02-11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-02-16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-02-17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-02-18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2020-02-19,0,2,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,
2020-02-19,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,
2020-02-20,0,1,0,0,8,22,0,0,0,0,0,0,0,0,0,0,0,
2020-02-20,0,1,0,0,(1)13,8,0,0,0,0,0,0,0,0,0,0,0,
2020-02-21,0,3,1,0,(1)3,38,2,0,0,1,0,0,1,1,1,0,1,
2020-02-21,0,2,1,0,0,42,2,0,0,0,0,0,0,0,1,0,0,
2020-02-22,0,0,2,0,103,28,0,2,0,2,1,1,0,1,1,0,1,
2020-02-22,0,3,4,5,14,55,0,1,1,0,0,1,0,0,2,1,0,
2020-02-23,0,0,2,0,(2)20,93,4,2,0,0,0,0,0,0,1,0,1,
2020-02-23,0,1,2,0,5,(1)24,6,6,0,0,0,1,0,0,1,0,0,
2020-02-24,0,3,10,0,(3)11,131,3,2,0,0,0,0,0,0,1,0,0,
2020-02-24,0,1,1,0,12,42,0,13,1,0,0,0,0,0,0,0,0,
2020-02-25,0,2,5,0,(1)33,16,1,3,0,0,0,0,0,0,0,0,0,
2020-02-25,0,4,2,0,(2)23,44,2,5,1,1,0,0,1,0,0,0,0,
2020-02-26,1,4,(1)1,0,19,134,2,8,0,0,0,0,0,0,0,0,0,
2020-02-26,0,4,8,0,49,(1)33,9,8,1,0,0,2,1,0,0,0,0,
2020-02-27,0,6,4,0,4,307,2,0,0,2,0,3,4,0,0,0,0,
2020-02-27,0,1,7,0,24,(1)115,7,3,5,1,0,1,5,2,0,0,0,
2020-02-28,1,6,4,0,49,182,3,2,0,1,0,4,4,0,0,0,0,
2020-02-28,0,0,6,1,15,265,3,2,3,0,0,1,19,0,0,0,0,
2020-02-29,2,12,4,0,60,(3)476,10,12,3,1,0,0,13,0,0,2,0,
2020-02-29,0,3,6,0,19,181,0,3,0,0,0,-1,7,0,0,0,0,
2020-03-01,0,5,2,0,26,333,3,1,0,1,0,0,5,0,0,0,0,
2020-03-01,0,5,5,8,41,(1)136,1,2,3,0,0,0,8,1,0,0,0,
2020-03-01,1,4,3,4,68,377,1,5,0,0,0,1,10,0,0,2,0,
2020-03-02,0,7,2,1,61,519,0,2,0,1,0,0,3,1,2,0,1,
2020-03-03,2,1,7,1,89,405,1,3,3,0,0,1,1,0,2,0,0,
2020-03-04,0,4,9,2,87,320,9,-1,0,1,0,1,4,0,1,0,1,
2020-03-05,0,2,10,2,123,367,3,3,0,3,0,2,4,0,-1,0,0,
2020-03-06,0,3,10,(1)1,65,390,5,1,0,5,1,0,2,0,0,0,0,
2020-03-07,0,12,11,1,32,297,1,1,1,4,6,1,0,0,0,0,0,
2020-03-08,0,10,11,1,26,190,0,-1,0,1,4,3,1,0,2,0,0,
2020-03-09,4,11,11,0,10,(3)92,0,0,0,0,2,2,-1,0,0,0,0,
2020-03-10,12,52,12,1,18,(6)131,1,2,1,2,2,0,8,0,0,0,0,
2020-03-11,0,19,3,0,(2)8,(4)73,1,1,0,0,5,2,2,0,0,0,0,
2020-03-12,2,13,(1)7,0,4,61,0,1,2,0,17,2,1,0,0,0,0,
2020-03-13,1,13,(1)15,0,(1)6,(3)62,0,3,0,1,6,0,0,0,0,0,0,
2020-03-14,2,9,11,0,4,(2)41,0,(1)3,1,3,1,0,0,0,1,0,0,
2020-03-15,0,6,20,0,7,35,0,1,0,0,1,0,0,0,0,0,0,4
2020-03-16,1,12,31,0,(2)5,(4)32,1,0,0,0,0,0,0,0,0,0,0,2
2020-03-17,1,5,15,1,(2)9,(1)46,0,0,2,1,1,0,3,2,1,1,0,5
2020-03-18,0,12,18,0,12,(7)97,0,0,6,1,0,0,0,1,0,0,0,5
2020-03-19,4,17,14,0,(1)13,(2)34,1,1,0,0,0,0,1,0,1,0,0,1
2020-03-20,4,15,12,0,(2)40,(6)69,0,0,0,1,0,0,0,0,0,0,0,6
